Time,Theta_Actual,Theta_Predicted,Gamma_Actual,Gamma_Predicted
41.27,0.1346552485919513,0.16162636320093599,-0.2741351636436433,-0.23923154933698046
41.28,0.1349351284353864,0.1548247477799179,-0.273871497984357,-0.23203122434250698
41.29,0.1356721131022845,0.14874283918117984,-0.2739420798538247,-0.2258593264407917
41.3,0.1365785912320674,0.14154672729202739,-0.2737763131059773,-0.21825047407216844
41.31,0.1364552922620776,0.13247671219147186,-0.2730988754900006,-0.20754179440104215
41.32,0.1365872880585397,0.12167483607629018,-0.272409560831265,-0.19302458913396622
41.33,0.1365269227501749,0.10907297119027617,-0.2716119259607991,-0.17587293534892784
41.34,0.1363912835271266,0.09482244773962759,-0.2706509315711087,-0.15626838021646453
41.35,0.135825532006832,0.07976959456486399,-0.269391698985333,-0.13696660152951937
41.36,0.1348365120912606,0.06694634013641614,-0.2680649213398078,-0.12384803792372673
41.37,0.1338715546259914,0.05909101375695694,-0.2666114051209866,-0.12207472585246022
41.38,0.1331618034291097,0.05683050200891964,-0.2652742989732132,-0.13129132078989172
41.39,0.1319905977895938,0.057701699029710084,-0.2636763471458878,-0.14553460745542407
41.4,0.1305395964026627,0.05974517397873085,-0.2618900605360967,-0.1610062587058419
41.41,0.1289195980030757,0.061222828442104416,-0.2601781450963221,-0.17364118699198502
41.42,0.1268345216515205,0.061719302669429314,-0.2584439828808331,-0.1821010196065765
41.43,0.1245331452610582,0.06201296610041393,-0.2566266959479916,-0.18816230685767618
41.44,0.1223426432271652,0.06303823270264958,-0.2547256613309491,-0.19472725501045615
41.45,0.120299711302169,0.06507598424983427,-0.252678107588086,-0.2029686062470496
41.46,0.1182339552793342,0.06717500422286529,-0.2506545458294659,-0.21097020854077242
41.47,0.1165677131984981,0.06851912967397925,-0.2487539095512596,-0.21591250395363523
41.48,0.1146457723348563,0.0686078865736364,-0.2465647740479228,-0.2166530758883659
41.49,0.1130516275026796,0.06734781132589927,-0.244672314038814,-0.2132555454324982
41.5,0.1114213668005408,0.06482932736678043,-0.2426675261255752,-0.20616442884941627
41.51,0.1097350011870634,0.061541142512349045,-0.2408969370198939,-0.19714161887615195
41.52,0.1081936841606932,0.05797663437265409,-0.2391358898735906,-0.18782591158424702
41.53,0.1063002946530147,0.05460956146629658,-0.2371396642244028,-0.17878174768626542
41.54,0.1050184677874959,0.05190868229774437,-0.2355200379546133,-0.1700281137248287
41.55,0.1036600288975484,0.04924068533092963,-0.2337993848786516,-0.15904423349352959
41.56,0.1024602386969456,0.04722293907431552,-0.2318724827471578,-0.1487327042728464
41.57,0.1009340531701146,0.043355083905542324,-0.2306897795696867,-0.13217838859548894
41.58,0.0993231129956234,0.040228402947619445,-0.2285984411123037,-0.11861431095847597
41.59,0.0979609449020605,0.037697623974437655,-0.2271731493161522,-0.10674581864077051
41.6,0.096344810064427,0.03638789076110273,-0.2255197233663995,-0.096615277780248
41.61,0.0950064685956589,0.037645112530649415,-0.2245359134455208,-0.09224822322565907
41.62,0.0937924154034531,0.04139533961789268,-0.2231673879987815,-0.09410264533118487
41.63,0.0927783978235509,0.04592240914191499,-0.2216335290396715,-0.09851733818900714
41.64,0.0913399380757353,0.05012123742769422,-0.2203755027843723,-0.10322770834723069
41.65,0.0896958720728402,0.05323072093393044,-0.2186500852697193,-0.10668269159740171
41.66,0.0882848416440124,0.0547558316104282,-0.2174556713423342,-0.10825331178905676
41.67,0.0869959870845446,0.05449008219962584,-0.216205429429049,-0.10795979925114628
41.68,0.0859298082451782,0.05228473754264216,-0.2149840323600464,-0.10551744524947963
41.69,0.0848025047101601,0.04819057142611544,-0.2133797035259884,-0.1007860500226558
41.7,0.0840047381040332,0.04323363903809327,-0.2122431718249478,-0.09466096911722849
41.71,0.0830084384672735,0.03851709722280192,-0.2108645780234083,-0.08764643199100158
41.72,0.0820151986494501,0.035420016134154644,-0.2094161709314039,-0.08287544265971966
41.73,0.0810792088822756,0.0351935697190793,-0.2083485067870557,-0.08301138783777691
41.74,0.0798989550803619,0.03766957538913861,-0.2069812970277537,-0.08829236394211792
41.75,0.0789361947186129,0.04059791563653396,-0.2056508946651541,-0.09428250282193071
41.76,0.0780199288031218,0.04304354399235882,-0.2043386506473581,-0.09852497929139775
41.77,0.0773581065314532,0.04501860157501087,-0.2032769589267469,-0.10045106895847408
41.78,0.0762776921894267,0.0462550373329817,-0.2020495211327045,-0.09951103415827686
41.79,0.0756103384653782,0.04775512155499578,-0.200795048516341,-0.09840572375099704
41.8,0.0748117017287328,0.04860085909959486,-0.1994213158201816,-0.09641899093704312
41.81,0.0737120948807511,0.04992370815837614,-0.1981525701064871,-0.09486276979766808
41.82,0.0728461463115392,0.05168660689440108,-0.1970956914039965,-0.09463283573822523
41.83,0.0718899063355791,0.053669693111729595,-0.1957479143838421,-0.09594310813621798
41.84,0.0711512556573889,0.05607055645452028,-0.1949211804706261,-0.09881087687701505
41.85,0.0702654040601906,0.05844280624084586,-0.1936528748779902,-0.102229268783735
41.86,0.0694884601536047,0.060195330800919836,-0.1925232208498794,-0.10493083482953569
41.87,0.0688323414506244,0.061627912778376176,-0.1916755870308469,-0.1074281138613078
41.88,0.0678675621869614,0.062434801979357024,-0.1902409761824313,-0.1093889240595618
41.89,0.0669911145302982,0.06302998954459665,-0.1892055376483675,-0.11131063236061248
41.9,0.0663144352249812,0.06258395494740088,-0.1880387600196369,-0.11177612011324727
41.91,0.0653374611387188,0.0622190676849079,-0.1871739050729116,-0.11252723340483009
41.92,0.0646679827500407,0.06229982128059737,-0.1858292764816102,-0.11372924025231235
41.93,0.0638361984481039,0.06303581848784034,-0.1849867030981993,-0.1154787227349128
41.94,0.0632261699109017,0.06335139732965575,-0.1839330577031636,-0.11536286032295773
41.95,0.0624691282872551,0.06293397153625423,-0.1828110131259453,-0.11399046702970222
41.96,0.061745017486093,0.06294218523894264,-0.1818063825472956,-0.11322776208568466
41.97,0.0608113029888079,0.06347919206047037,-0.1807390919226234,-0.11182256273118624
41.98,0.0602048466508585,0.06376352474240546,-0.1798240943489508,-0.11007344160665311
41.99,0.0593297958938737,0.06419747947916221,-0.1786571632277986,-0.10871053894744159
42.0,0.0586809649078098,0.06454352068924527,-0.177853694545093,-0.10711161464217814
42.01,0.058103442517429,0.06544604692110262,-0.1766585912219553,-0.10685494637277215
42.02,0.057113055426916,0.06696751684239069,-0.1757643521059003,-0.10786088856190071
42.03,0.0564948937097646,0.06927318942374391,-0.1749448851362022,-0.11138320382083233
42.04,0.0557916933273421,0.0726469847741836,-0.1740986171571099,-0.11762584655872112
42.05,0.0551390804542498,0.07438830546071767,-0.1728561529873362,-0.12150051034950318
42.06,0.0544933407523546,0.0752677360855698,-0.1720764867171128,-0.12489537579343576
